SKU,Brand,Product Name,Current Price,Price per unit,Unit Size,Previous Price,On Special,Suppliers,Category,Availability,URL,Date
5552773P,Neutrogena,T Gel Hair Shampoo,13.0,$6.50 per 100mL,200mL,,,['24058 JOHNSON & JOHNSON PACIFIC P/L'],health-beauty,Available,https://shop.coles.com.au/a/national/product/neutrogena-t-gel-hair-shampoo,2021-04-23
3540026P,Coles,Crepe Bandage Medium,6.0,$6.00 per 1Ea,1 each,,,['962633 3P P/L (PRIVATE LABEL)'],health-beauty,Available,https://shop.coles.com.au/a/national/product/coles-crepe-bandage-medium,2021-04-23
5543105P,Yakult,Fermented Light Probiotic Milk 5 Pack,4.0,$12.31 per 1L,65mL,,,['720632 YAKULT AUST P/L'],dairy--eggs-meals,Available,https://shop.coles.com.au/a/national/product/yakult-milk-drink-fermented-drink-light-5-pack,2021-04-23
3801301P,Mission,Street Tacos,4.0,$1.07 per 100G,375g,,,['953327 GRUMA OCEANIA P/L'],international-foods,Available,https://shop.coles.com.au/a/national/product/mission-stret-tacos,2021-04-23
7308048P,Dr. Oetker,Frozen Ristorante Spinaci (Spinach) Pizza,7.9,$2.03 per 100G,390g,,,"['964322 DR OETKER', '975537 DR OETKER QUEEN AUSTRALIA', '555555 NLE DUMMY SUPPLIER FOR TESTING', '145823 OVERSEAS SUPPLIER']",frozen,Available,https://shop.coles.com.au/a/national/product/dr-oetker-pizza-ristorante-spinaci-(spinach)-frozen,2021-04-23
5024866P,Coles,Organic Brushed Potatoes Prepacked,9.5,$4.75 per 1Kg,2kg,,,"['942633 CARTER & SPENCER NORTH QLD', '939301 FRESH PRODUCE DC (WA)', '939312 FRESH PRODUCE DC (NSW)', '97446 CARTER & SPENCER GROUP P/L', '933347 COSTAS (TASMANIA)', ""635235 COSTA'S P/L (VIC DC)"", '414760 ST GEORGE PROD PTY LTD']",fruit-vegetables,Available,https://shop.coles.com.au/a/national/product/organic-potatoes-brushed-prepacked-5024866p,2021-04-23
5463232P,Always Fresh,Kalamata Olives Pitted,8.65,$12.91 per 1Kg,670g,,,['633534 RIVIANA FO'],pantry,Available,https://shop.coles.com.au/a/national/product/always-fresh-olives-kalamata-pitted-5463232p,2021-04-23
186383P,Birds Eye,Snap Frozen Garden Peas,2.35,$4.70 per 1Kg,500g,,,['14729 SIMPLOT AU'],frozen,Available,https://shop.coles.com.au/a/national/product/birds-eye-peas-frozen,2021-04-23
1868287P,Old El Paso,Black Beans Mild,2.4,$0.56 per 100G,425g,3.0,Specials,['407364 GENERAL MILLS AUST P/L'],international-foods,Available,https://shop.coles.com.au/a/national/product/old-el-paso-black-beans,2021-04-23
3708000P,Purr,Tuna Crab Gravy Cat Food Pouch,1.0,$1.18 per 100G,85g,,,['972649 SAFCOL AUSTRALIA PTY LTD (CB)'],pet,Available,https://shop.coles.com.au/a/national/product/purr-cat-fod-pouch-tuna-crab-gravy,2021-04-23
292212P,Chang's,Original Fried Noodles,1.4,$1.40 per 100G,100g,,,['425150 CYPRESS &'],international-foods,Available,https://shop.coles.com.au/a/national/product/changs-noodles-fried-original,2021-04-23
3823202P,Goats Milk,Roll On Deodorant,8.1,$8.10 per 100mL,100mL,9.0,Specials,"['736296 NATURES COMMONSCENTS P/L', '976000 TILLEY SOAPS AUSTRALIA P/L (CB)']",health-beauty,Available,https://shop.coles.com.au/a/national/product/goats-milk-roll-on-deodorant,2021-04-23
6393915P,Latina,Fresh Kids Beef & Vegetable Mini Ravioli,4.5,$2.25 per 100G,200g,,,['600962 GENERAL MILLS AUST P/L (CHILLED)'],convenience-meals,Available,https://shop.coles.com.au/a/national/product/latina-kids-pasta-fresh-mini-beef-vegetable-ravioli,2021-04-23
315759P,Rose's,English Breakfast Marmalade,3.85,$0.77 per 100G,500g,4.2,Specials,"['953287 HJ HEINZ C', '11207 COTTEES FOODS P/L']",pantry,Available,https://shop.coles.com.au/a/national/product/roses-marmalade-english-breakfast,2021-04-23
3791911P,Maybelline,Brow Fast Sculpt Brow Gel Clear Mascara,10.5,$37.50 per 10mL,2.8mL,15.0,Specials,"[""720488 L'OREAL AUST P/L""]",health-beauty,Available,https://shop.coles.com.au/a/national/product/mny-brow-fast-sculpt-brow-gel-clear-mascara,2021-04-23
3769967P,Coles,Kitchen 2 Plain Naan,3.5,$1.00 per 100G,350g,,,['971184 DELLA ROSA FRESH FOODS (COLESBRA'],entertaining-at-home,Available,https://shop.coles.com.au/a/national/product/coles-nan-plain,2021-04-23
3319610P,Nature's Gift,Sustain Natural Kangaroo Dry Dog Food,18.0,$0.30 per 100G,6kg,26.0,Specials,['959676 AUSTRALIAN PET BRANDS P/L (PRIVA'],pet,Available,https://shop.coles.com.au/a/national/product/natures-gift-sustain-dry-dog-food-kangaroo-3319610p,2021-04-23
9096097P,Coles Deli,Salads Tub Small Classic Coleslaw,4.0,$4.00 per 1Ea,Small,,,"['756806 SALADFRESH', '962422 SUNFRESH SALADS', '656186 COLES SUPERMARKETS (EXP)', '961779 PMFRESH PTY LTD', '413062 HOMESTYLE SALADS']",convenience-meals,Available,https://shop.coles.com.au/a/national/product/coles-salad-tub-coleslaw-small-from-the-deli,2021-04-23
3559986P,Slow Hills,RSPCA Approved Chicken Thigh Cutlets,12.0,$20.00 per 1Kg,600g,13.0,Specials,['410934 BAIADA POULTRY P/L (SET WEIGHT)'],mothers-day,Available,https://shop.coles.com.au/a/national/product/slow-hills-rspca-chicken-thigh-cutlets,2021-04-23
